Borough	Year	NTA Code	NTA Name	Population
Bronx	2010	BX52	Schuylerville-Throgs Neck-Edgewater Park	"44,167"
Bronx	2010	BX55	Soundview-Bruckner	"35,634"
Bronx	2010	BX59	Westchester-Unionport	"27,248"
Bronx	2010	BX62	Woodlawn-Wakefield	"42,483"
Bronx	2010	BX63	West Concourse	"39,282"
Bronx	2010	BX75	Crotona Park East	"20,277"
Bronx	2010	BX98	Rikers Island	"11,091"
Bronx	2010	BX99	park-cemetery-etc-Bronx	"1,906"
Brooklyn	2010	BK09	Brooklyn Heights-Cobble Hill	"22,887"
Brooklyn	2010	BK17	Sheepshead Bay-Gerritsen Beach-Manhattn Bch	"64,518"
Brooklyn	2010	BK19	Brighton Beach	"35,547"
Brooklyn	2010	BK21	Seagate-Coney Island	"31,965"
Brooklyn	2010	BK23	West Brighton	"17,750"
Brooklyn	2010	BK25	Homecrest	"44,316"
Brooklyn	2010	BK26	Gravesend	"29,436"
Brooklyn	2010	BK27	Bath Beach	"29,931"
Brooklyn	2010	BK28	Bensonhurst West	"88,727"
Brooklyn	2010	BK29	Bensonhurst East	"62,978"
Brooklyn	2010	BK30	Dyker Heights	"42,419"
Brooklyn	2010	BK31	Bay Ridge	"79,371"
Brooklyn	2010	BK32	Sunset Park West	"54,041"
Brooklyn	2010	BK33	Carroll Gardens-Columbia Street-Red Hook	"38,353"
Brooklyn	2010	BK34	Sunset Park East	"72,340"
Brooklyn	2010	BK35	Stuyvesant Heights	"63,504"
Brooklyn	2010	BK37	Park Slope-Gowanus	"67,649"
Brooklyn	2010	BK38	DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill	"34,495"
Brooklyn	2010	BK40	Windsor Terrace	"20,988"
Brooklyn	2010	BK41	Kensington-Ocean Parkway	"36,891"
Brooklyn	2010	BK42	Flatbush	"105,804"
Brooklyn	2010	BK43	Midwood	"52,835"
Brooklyn	2010	BK44	Madison	"38,917"
Brooklyn	2010	BK45	Georgetown-Marine Park-Bergen Beach-Mill Basin	"45,231"
Brooklyn	2010	BK46	Ocean Parkway South	"20,299"
Brooklyn	2010	BK50	Canarsie	"83,693"
Brooklyn	2010	BK58	Flatlands	"64,762"
Brooklyn	2010	BK60	Prospect Lefferts Gardens-Wingate	"67,459"
Brooklyn	2010	BK61	Crown Heights North	"103,169"
Brooklyn	2010	BK63	Crown Heights South	"39,670"
Brooklyn	2010	BK64	Prospect Heights	"19,849"
Brooklyn	2010	BK68	Fort Greene	"26,079"
Brooklyn	2010	BK69	Clinton Hill	"34,791"
Brooklyn	2010	BK72	Williamsburg	"32,926"
Brooklyn	2010	BK73	North Side-South Side	"45,774"
Brooklyn	2010	BK75	Bedford	"70,713"
Brooklyn	2010	BK76	Greenpoint	"34,719"
Brooklyn	2010	BK77	Bushwick North	"57,138"
Brooklyn	2010	BK78	Bushwick South	"72,101"
Brooklyn	2010	BK79	Ocean Hill	"31,935"
